4a Site1,4a Site2,4b Site1,4b Site2,4b Site3,4e Site1,4e Site2,4a Site3,4g Site1,4g Site2,4g Site3,5g Site2,5g Site3
-60.467,-45.590206,-27.317222,-34.213089,-27.485239,0.421357,48.235219,-75.125826,-2.964078,-3.703544,-65.19203,-14.183694,25.431273
-11.715302,-56.099992,-139.943343,-33.149539,6.066537,28.031354,-13.329269,-0.370689,-14.323509,81.253308,-42.409833,-69.266502,7.687435
-49.250969,69.060723,-29.23448,64.084982,-9.395329,-72.031732,57.707984,-62.359402,-35.407611,5.742931,28.930472,63.356988,-17.852583
-86.724496,18.406107,-45.668837,-25.621995,-50.914648,-18.932385,48.745006,20.732055,-35.361484,17.223057,-13.152887,66.848539,-49.001214
-1.096054,39.733272,-41.641687,-36.2324,7.189598,14.104824,27.638677,-24.619629,-18.747399,0.201716,-29.893881,-61.845552,32.444489
-15.770176,62.760922,60.765033,-7.322243,-121.534607,-52.97674,-61.375678,-22.416527,-32.650029,3.323295,-58.079868,-3.18348,-59.420658
-11.778159,-34.367244,8.162328,-43.469559,-0.045888,13.357471,36.818906,2.749934,-17.976146,-0.089864,-21.999472,35.789533,-31.365643
8.350421,35.206134,16.874834,16.332543,-34.343105,-19.505268,-14.543389,2.012619,-22.342198,-2.172749,63.702582,-22.90815,-50.868999
-62.664605,-21.755453,2.351999,29.917064,-86.638695,29.375012,-32.624217,-68.133403,-53.712621,-30.726318,-43.411482,106.15902,-52.253048
-72.445202,59.803775,-3.119189,-22.711453,33.042467,-35.365786,-19.119283,-11.231805,-76.104292,-15.359813,-58.073893,-71.810179,-35.727393
12.585501,-40.027959,-0.847494,-15.511817,-23.03243,17.864772,-1.113023,-18.32413,-29.25599,-15.003942,-31.636669,-66.754851,1.245429
-39.453403,19.0961,-25.280225,-10.074089,-95.961368,9.985659,36.501514,-8.050476,-83.969065,-31.441645,-57.610233,-2.893573,-62.173221
